表,食谱,状态,原料,营养档案,改前,改后,处理说明
正式食谱,鸡胸牛里脊三文鱼,PRIVATE_CUSTOM,,生,去油去血管、生重、打碎、充分搅拌,去油、生重、打碎、充分搅拌,自由文本归一
正式食谱,鸡胸牛里脊三文鱼,PRIVATE_CUSTOM,,生,去壳、焯水后称重、打碎、充分搅拌,去壳、焯水、沥干后称重、打碎、充分搅拌,自由文本归一
正式食谱,鸡胸牛里脊三文鱼,PRIVATE_CUSTOM,,生,去皮、煮/蒸熟后沥水称重、打碎、充分搅拌,去皮、生重、打碎、充分搅拌,自由文本归一、生档案：熟制称重→生重
正式食谱,鸡胸牛里脊三文鱼,PRIVATE_CUSTOM,,生,水煮或焯水后沥干、称重、打碎、充分搅拌,焯水、沥干后称重、打碎、充分搅拌,自由文本归一、去掉多余称重
正式食谱,鸡胸牛里脊三文鱼,PRIVATE_CUSTOM,,生,留皮、煮熟后称重、打碎、充分搅拌,留皮、生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,鸡胸牛里脊三文鱼,PRIVATE_CUSTOM,,生,煮/蒸熟后称重、打碎、充分搅拌,生重、打碎、充分搅拌,自由文本归一、生档案：熟制称重→生重
正式食谱,鸡胸牛里脊三文鱼,PRIVATE_CUSTOM,,干,生重、称重后研磨、充分搅拌,生重、打粉、充分搅拌,自由文本归一
正式食谱,鸡胸牛里脊三文鱼,PRIVATE_CUSTOM,,油脂,生重、充分搅拌,充分搅拌,油/粉/补剂：删除口径词
正式食谱,排敏：猪肉7.7-12,PRIVATE_CUSTOM,,生,煮熟后称重、充分搅拌,生重、充分搅拌,生档案：熟制称重→生重
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,"df60590f-a697-4897-ab08-1322e2287268, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",打粉、充分搅拌,机器码还原
正式食谱,排敏：猪肉7.7-12,PRIVATE_CUSTOM,,熟,生重、打碎、充分搅拌,熟重、打碎、充分搅拌,熟档案：生重→熟重
正式食谱,排敏：猪肉7.7-12,PRIVATE_CUSTOM,,熟,生重、打碎、充分搅拌,熟重、打碎、充分搅拌,熟档案：生重→熟重
正式食谱,排敏：猪肉7.7-12,PRIVATE_CUSTOM,,熟,去壳、全蛋、生重、充分搅拌,去壳、全蛋、熟重、充分搅拌,熟档案：生重→熟重
正式食谱,鸭,PRIVATE_CUSTOM,,生,打碎、静置30分钟、焯水沥干、称重、充分搅拌,打碎、静置30分钟、焯水、沥干后称重、充分搅拌,自由文本归一、去掉多余称重
正式食谱,大米红薯兔里脊,PRIVATE_CUSTOM,,熟,去皮、生重、打碎、充分搅拌,去皮、熟重、打碎、充分搅拌,熟档案：生重→熟重
正式食谱,大米红薯兔里脊,PRIVATE_CUSTOM,,熟,打碎、静置30分钟、焯水沥干、称重、充分搅拌,熟重、打碎、静置30分钟、焯水、沥干后称重、充分搅拌,自由文本归一、熟档案：补熟重、去掉多余称重
正式食谱,大米红薯兔里脊,PRIVATE_CUSTOM,,熟,焯水、沥干后称重、打碎,焯水、沥干后称重、熟重、打碎,熟档案：补熟重
正式食谱,derder 夏季鲜食食谱,PRIVATE_CUSTOM,,油脂,生重、充分搅拌,充分搅拌,油/粉/补剂：删除口径词
正式食谱,大米红薯兔里脊,PRIVATE_CUSTOM,,生,去籽、煮熟后称重、打碎、充分搅拌,去籽、生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,Lucky的最新兔肉食谱,DRAFT,,浓缩补剂,生重、充分搅拌,充分搅拌,油/粉/补剂：删除口径词
正式食谱,Dobby 的鲜食食谱 06/15,PRIVATE_CUSTOM,,生,去瓤、去皮、煮熟后沥水、称重、打碎、充分搅拌,去瓤、去皮、生重、打碎、充分搅拌,自由文本归一、生档案：熟制称重→生重、去掉多余称重
正式食谱,嗨皮 的鲜食食谱 08/01,PRIVATE_CUSTOM,,熟,焯水、沥干后称重、打碎、充分搅拌,焯水、沥干后称重、熟重、打碎、充分搅拌,熟档案：补熟重
正式食谱,嗨皮 的鲜食食谱 08/01,PRIVATE_CUSTOM,,生,去籽、煮熟后称重、打碎、充分搅拌,去籽、生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,TT 的鲜食食谱 07/05,PRIVATE_CUSTOM,,生,打碎、静置30分钟、焯水沥干、称重、充分搅拌,打碎、静置30分钟、焯水、沥干后称重、充分搅拌,自由文本归一、去掉多余称重
正式食谱,TT 的鲜食食谱 07/05,PRIVATE_CUSTOM,,熟,去油、生重、打碎、充分搅拌,去油、熟重、打碎、充分搅拌,熟档案：生重→熟重
正式食谱,嗨皮 的鲜食食谱 08/01,PRIVATE_CUSTOM,,熟,去皮、去瓤、生重、打碎、充分搅拌,去皮、去瓤、熟重、打碎、充分搅拌,熟档案：生重→熟重
