原料ID,原料名称,阶段,下一步动作,问题代码,问题详情,主档案 USDA 食物,主档案 FDC ID,主档案状态,主档案入库状态,次级 USDA 档案数,总档案映射数,待审 USDA 候选数,已确认 USDA 候选数,已拒绝 USDA 候选数,最佳候选ID,最佳候选 FDC ID,最佳候选食物,最佳候选分数,最佳候选置信度,Agent 状态,Ingredient 当前来源,Ingredient 当前 externalId
8777c105-427e-4723-9445-41b1ef1ab625,羽衣甘蓝,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Kale, raw",168421,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,6f6c4f82-30f4-44a2-9b60-09f5c08ba78d,168421,"Kale, raw",0.98,HIGH,COMPLETED,USDA,168421
badc249e-76a0-4e2d-89ea-11f9065a540e,玉米粒,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Corn, sweet, yellow, raw",169998,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,234629af-327d-4476-9634-6e3f47809051,169998,"Corn, sweet, yellow, raw",0.98,HIGH,COMPLETED,USDA,169998
78e94a25-4761-4079-884b-c7e1130eea39,玉米油,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Oil, corn, industrial and retail, all purpose salad or cooking",171029,油脂 / 标准可食部 / 未加工,VERIFIED,0,1,0,0,0,,,,0,,,USDA,171029
ee6b0e4c-d5c6-4f54-bbfa-42f1c16b8d01,芋头,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Taro, raw",169308,生 / 标准可食部 / 未加工,VERIFIED,1,2,0,0,0,,,,0,,,USDA,169308
138971bf-c599-4453-97d4-ae230193e813,猪肝,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Pork, fresh, variety meats and by-products, liver, raw",167862,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,9c6a43db-99ce-4d50-b246-9262e84cbefb,167862,"Pork, fresh, variety meats and by-products, liver, raw",0.98,HIGH,COMPLETED,USDA,167862
727dcc77-41b8-422c-be63-3df2f6f512c6,猪里脊,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Pork, fresh, loin, tenderloin, separable lean only, raw",168249,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,052eb101-c038-43ed-a45a-0fa3e3c71d3d,168312,"Pork, fresh, loin, tenderloin, separable lean and fat, raw",0.98,HIGH,COMPLETED,USDA,168249
4db096fd-60c3-438c-ba3d-d962b6c7112f,猪肾,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Pork, fresh, variety meats and by-products, kidneys, raw",168270,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,005d1908-fda1-4c2e-b0ae-5f9e8e220e85,168270,"Pork, fresh, variety meats and by-products, kidneys, raw",0.98,HIGH,COMPLETED,USDA,168270
8cf8b78c-ed17-44b6-a702-95a0179e9567,猪心,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Pork, fresh, variety meats and by-products, heart, raw",168267,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,1c964b9f-1e46-467e-a171-5efd63205758,168267,"Pork, fresh, variety meats and by-products, heart, raw",0.98,HIGH,COMPLETED,USDA,168267
f913e6f4-48c5-409d-8a81-603344244cb1,紫甘蓝,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Cabbage, red, raw",169977,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,d1907c10-6175-40b4-ba26-19daf514df70,169977,"Cabbage, red, raw",0.95,HIGH,,USDA,169977
2f3ef88e-1f29-419d-bee7-636346fc097a,紫薯,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",168482,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,d6b5e125-3acc-4197-b09a-971bbf41f1c0,168482,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",0.98,HIGH,COMPLETED,USDA,168482
