表,食谱,状态,原料,营养档案,改前,改后
正式食谱,创伤恢复+红胡子(牛肉版),DRAFT,燕麦,干,生重、打粉、充分搅拌,干重、打粉、充分搅拌
正式食谱,燕麦米青花鱼鸭肉,DRAFT,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,（咖喱定制）创伤恢复+红胡子 (新版本),PRIVATE_CUSTOM,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,糙米三文鱼猪里脊(烟花),PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,糙米三文鱼猪里脊(烟花),PRIVATE_CUSTOM,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,秋菊 的鲜食食谱 06/28,PRIVATE_CUSTOM,燕麦,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,秋菊 的鲜食食谱 06/28,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,秋菊 的鲜食食谱 06/28,PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,当前名称：排敏：鸡肉7.2-7.6,PRIVATE_CUSTOM,燕麦,干,生重、打粉、充分搅拌,干重、打粉、充分搅拌
正式食谱,当前名称：排敏：鸡肉7.2-7.6,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,当前名称：排敏：鸡肉7.2-7.6,PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,当前名称：排敏：鸡肉7.2-7.6,PRIVATE_CUSTOM,生南瓜籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,十字花科全谷物三文鱼鸡肉,PUBLIC,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小瓜 的鲜食食谱 07/02,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小瓜 的鲜食食谱 07/02,PRIVATE_CUSTOM,生南瓜籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,好久 的鲜食食谱 09/06,PRIVATE_CUSTOM,燕麦,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,紫薯黑米猪里脊,DRAFT,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,柠檬茶 的鲜食食谱 09/06,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,排敏：猪肉7.7-12,PRIVATE_CUSTOM,燕麦,干,生重、打粉、充分搅拌,干重、打粉、充分搅拌
正式食谱,排敏：猪肉7.7-12,PRIVATE_CUSTOM,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,TT 的鲜食食谱 07/05,PRIVATE_CUSTOM,红小豆,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,TT 的鲜食食谱 07/05,PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,土豆大米鳕鱼火鸡胸,PRIVATE_CUSTOM,生南瓜籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,Dobby 的鲜食食谱 06/15,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,Dobby 的鲜食食谱 06/15,PRIVATE_CUSTOM,奇亚籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,嗨皮 的鲜食食谱 08/01,PRIVATE_CUSTOM,奇亚籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,十字花科全谷物三文鱼鸡肉,PUBLIC,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,马肉兔肉白米土豆,PRIVATE_CUSTOM,巴西坚果,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,鸡胸牛里脊三文鱼,PRIVATE_CUSTOM,亚麻籽,干,生重、打粉、充分搅拌,干重、打粉、充分搅拌
正式食谱,犇犇 的鲜食食谱 08/03,PRIVATE_CUSTOM,燕麦,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,糙米三文鱼牛肉（敢敢）,PUBLIC,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,牛牛定制食谱,DRAFT,燕麦,干,生重、打粉、充分搅拌,干重、打粉、充分搅拌
正式食谱,（咖喱定制）创伤恢复+红胡子 (新版本),PRIVATE_CUSTOM,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,十字花科全谷物三文鱼鸡肉,PUBLIC,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,创伤恢复+红胡子(牛肉版),DRAFT,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,马肉兔肉白米土豆,PRIVATE_CUSTOM,巴西坚果,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,红薯鳕鱼鸭胸,DRAFT,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,好久 的鲜食食谱 09/06,PRIVATE_CUSTOM,燕麦,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小米鳕鱼鸡胸,PUBLIC,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小米鳕鱼鸡胸,PUBLIC,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小米鳕鱼鸡胸,PUBLIC,奇亚籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,大米燕麦三文鱼兔里脊,PUBLIC,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小米鳕鱼鸡胸,PUBLIC,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小米鳕鱼鸡胸,PUBLIC,奇亚籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小米鳕鱼鸡胸,PUBLIC,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小米鳕鱼鸡胸,PUBLIC,奇亚籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小米鳕鱼鸡胸,PUBLIC,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小米鳕鱼鸡胸,PUBLIC,奇亚籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,大米红薯兔里脊,PRIVATE_CUSTOM,生南瓜籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,525 的鲜食食谱 06/16,PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,xz 的鲜食食谱 07/08 副本,PRIVATE_CUSTOM,白芝麻,干,生重、充分搅拌,干重、充分搅拌
正式食谱,牛牛定制食谱,DRAFT,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,财宝的定制20260911,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,萝卜绿豆鸭胸猪里脊,PUBLIC,巴旦木,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,萝卜绿豆鸭胸猪里脊,PUBLIC,白芝麻,干,生重、充分搅拌,干重、充分搅拌
正式食谱,derder 的鲜食食谱 07/21,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小米三文鱼猪里脊(幺鸡),PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小米三文鱼猪里脊(幺鸡),PRIVATE_CUSTOM,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,xz 的鲜食食谱 07/15,PRIVATE_CUSTOM,白芝麻,干,生重、充分搅拌,干重、充分搅拌
正式食谱,牛牛的定制食谱（牛）20260914,PRIVATE_CUSTOM,燕麦,干,生重、打粉、充分搅拌,干重、打粉、充分搅拌
正式食谱,黑米鳕鱼鸡胸,DRAFT,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,黑米鳕鱼鸡胸,DRAFT,奇亚籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,Foxy的鸭胸食谱,DRAFT,燕麦,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,Foxy的鸭胸食谱,DRAFT,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,小瓜 的鲜食食谱 07/15,PRIVATE_CUSTOM,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,大米红薯兔里脊,PRIVATE_CUSTOM,生南瓜籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,花椰菜糙米鸭肉,PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,鸡蛋鱼虾鸭胸(路宝),DRAFT,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,燕麦米比目鱼鸭肉,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,6.75天/27份✅鸡猪,PRIVATE_CUSTOM,白芝麻,干,生重、充分搅拌,干重、充分搅拌
正式食谱,6.75天/27份 猪里脊420,PRIVATE_CUSTOM,白芝麻,干,生重、充分搅拌,干重、充分搅拌
正式食谱,杠铃 的鲜食食谱 07/25,PRIVATE_CUSTOM,燕麦,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,桑迪 的鲜食食谱 07/25,PRIVATE_CUSTOM,燕麦,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,秋菊 的鲜食食谱 08/02,PRIVATE_CUSTOM,燕麦,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,秋菊 的鲜食食谱 08/02,PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,秋菊 的鲜食食谱 08/02,PRIVATE_CUSTOM,白芝麻,干,生重、充分搅拌,干重、充分搅拌
正式食谱,秋菊 的鲜食食谱 07/26,PRIVATE_CUSTOM,燕麦,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,秋菊 的鲜食食谱 07/26,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,兔里脊大米土豆(小满),PRIVATE_CUSTOM,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,秋菊 的鲜食食谱 07/26,PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,harley 的鲜食食谱 08/09,PRIVATE_CUSTOM,生南瓜籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,harley 的鲜食食谱 08/09,PRIVATE_CUSTOM,白芝麻,干,生重、充分搅拌,干重、充分搅拌
正式食谱,青花鱼对虾牛肉(财宝),PRIVATE_CUSTOM,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,来福 的鲜食食谱 08/06,PRIVATE_CUSTOM,羊肚菌（鲜）,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,燕麦鳕鱼猪肉,PUBLIC,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,百万 的鲜食食谱 07/28,PRIVATE_CUSTOM,羊肚菌（鲜）,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,百万 的鲜食食谱 07/28,PRIVATE_CUSTOM,生南瓜籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,百万 的鲜食食谱 07/28,PRIVATE_CUSTOM,白芝麻,干,生重、充分搅拌,干重、充分搅拌
正式食谱,青口贝虾仁鸡胸（幺鸡）,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,青口贝虾仁鸡胸（幺鸡）,PRIVATE_CUSTOM,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,鸭肉食谱,PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,5.75天/23份 猪里脊400,PRIVATE_CUSTOM,白芝麻,干,生重、充分搅拌,干重、充分搅拌
正式食谱,燕麦鳕鱼猪肉,PUBLIC,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,乖乖 的鲜食食谱 08/25,PRIVATE_CUSTOM,食用盐,干,生重、充分搅拌,干重、充分搅拌
正式食谱,土豆大米兔,PRIVATE_CUSTOM,生南瓜籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,鸭肉梨,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,牛肉食谱,PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,鸡肉食谱,PRIVATE_CUSTOM,生南瓜籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,鸡肉食谱,PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,燕麦鳕鱼猪肉,PUBLIC,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,十字花科全谷物三文鱼鸡肉,PUBLIC,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,十字花科全谷物三文鱼鸡肉,PUBLIC,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,兔肉食谱,PRIVATE_CUSTOM,生葵花籽仁,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,兔肉食谱,PRIVATE_CUSTOM,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
正式食谱,鸡胸牛肉饭(幺鸡),DRAFT,火麻籽,干,生重、打碎、充分搅拌,干重、打碎、充分搅拌
